"word","mRT","accuracy"
"Choctaws",818.322580645161,0.354838709677419
"Christ",555.09375,0.96875
"Christ's",697.029411764706,1
"Christen",972.46875,0.53125
"Christendom",1032.90625,0.46875
"Christian",670.515151515152,0.96969696969697
"Christianity",832.733333333333,1
"Christianizing",995.62962962963,0.814814814814815
"Christians",723.6875,1
"Christine",827.588235294118,0.941176470588235
"Christine's",784.705882352941,0.911764705882353
"Christlike",972.3125,0.9375
"Christmas",716.90625,1
"Christopher",720.59375,1
"Chrysler",754.558823529412,1
"Chrysler's",752.818181818182,0.909090909090909
"Churchill",709.117647058824,0.970588235294118
"Churchill's",789.735294117647,0.970588235294118
"Cicero",861.181818181818,0.848484848484849
"Cicero's",813.9375,0.75
"Cincinnati",783.393939393939,1
"Cinderella",686.264705882353,1
"Clair",844.151515151515,0.848484848484849
"Claire",677.935483870968,0.935483870967742
"Clara",686,0.909090909090909
"Clare",851,0.8125
"Clarence",776.060606060606,0.909090909090909
"Clark",624.59375,0.96875
"Clark's",671.75,1
"Claude",701.53125,0.8125
"Claude's",761.30303030303,0.96969696969697
"Claudia's",698.69696969697,0.939393939393939
"Claus",900.742857142857,0.714285714285714
"Clearwater",750.53125,0.96875
"Cleveland",727.1875,1
"Clinton",677.916666666667,1
"Clyde",808.1875,0.9375
"Cockney",920.59375,0.375
"Coke",554.71875,0.96875
"Cokes",631.515151515152,1
"Coleridge",828.5,0.28125
"Coleridge's",949.424242424242,0.454545454545455
"Colombia",784,0.838709677419355
"Colombian",778.575757575758,0.909090909090909
"Colorado",585.411764705882,1
"Colorado's",657.71875,0.96875
"Colosseum",840.852941176471,0.882352941176471
"Columbia",738.911764705882,1
"Columbus",632.78125,1
"Comanche",885.612903225806,0.580645161290323
"Comforter",855.161290322581,1
"Concorde",801.705882352941,0.852941176470588
"Conestoga",892.828571428571,0.114285714285714
"Confucian",958.4,0.466666666666667
"Confucianism",925.758620689655,0.586206896551724
"Confucius",823.51724137931,0.827586206896552
"Congo",690.290322580645,1
"Congo's",753,0.935483870967742
"Congregationalism",1184.96428571429,0.857142857142857
"Congregationalist",1007.77419354839,0.838709677419355
"Congregationalists",1188.51612903226,0.67741935483871
"Connecticut",877.484848484848,0.939393939393939
"Connecticut's",805.333333333333,0.939393939393939
"Connie",658.885714285714,0.885714285714286
"Connor",766.030303030303,0.878787878787879
"Conrad",733.612903225806,0.935483870967742
"Constantine",913.46875,0.90625
"Constantinople",1009.03225806452,0.806451612903226
"Coolidge",784.53125,0.65625
"Coolidge's",915.828571428571,0.771428571428571
"Copenhagen",896.5625,0.90625
"Copernican",968.774193548387,0.483870967741935
"Copernicus",831.606060606061,0.818181818181818
"Copland",867.84375,0.625
"Corinth",870.147058823529,0.794117647058823
"Corinthian",969.033333333333,0.866666666666667
"Corinthians",840.575757575758,0.909090909090909
"Cornell",816.647058823529,0.941176470588235
"Cornish",870.064516129032,0.838709677419355
"Cornwallis",1006.09375,0.4375
"Coronado",1075.67741935484,0.516129032258065
"Courtney",805.411764705882,0.970588235294118
"Coventry",898.821428571429,0.714285714285714
"Craig",685.59375,0.875
"Craig's",768.30303030303,1
"Creole",733.65625,0.875
"Cristo",886,0.588235294117647
"Cromwell",789.848484848485,0.787878787878788
"Cromwell's",831.647058823529,0.735294117647059
"Cromwellian",911.40625,0.28125
"Cuba",609.225806451613,1
"Cuba's",652.8125,0.96875
"Cuban",650.323529411765,1
"Cubans",707.939393939394,0.848484848484849
"Curie",877.903225806452,0.645161290322581
"Custer",821.677419354839,0.741935483870968
"Custer's",919.65625,0.9375
"Cyclades",982.806451612903,0.161290322580645
"Cyclops",748.21875,0.90625
"Cynthia",693.529411764706,1
"Cyprian",894.794117647059,0.529411764705882
"Cyprus",737.909090909091,0.909090909090909
"Czech",772.617647058824,0.705882352941177
"Czechoslovakia",983.516129032258,0.67741935483871
"Dadaism",823.114285714286,0.142857142857143
"Dakota",658.5,0.941176470588235
"Dali",722.09375,0.65625
"Dallas",640.8125,0.96875
"Dalmatian",844.060606060606,0.878787878787879
"Dalton",696.1875,0.6875
"Damascus",984.433333333333,0.6
"Dan",565.483870967742,1
"Dana",680.46875,0.96875
"Dana's",653.066666666667,0.966666666666667
"Dane",736.909090909091,0.787878787878788
"Danes",811.741935483871,0.774193548387097
"Daniel",681.6875,1
"Danish",709.235294117647,0.941176470588235
"Danny",652.060606060606,0.939393939393939
"Dante",815.46875,0.78125
"Dante's",778.205882352941,0.882352941176471
"Danube",833.34375,0.59375
"Danubian",846.823529411765,0.264705882352941
"Daphne",721.636363636364,0.757575757575758
"Darlene",722.545454545455,0.909090909090909
"Dartmouth",920.970588235294,0.882352941176471
"Darwin",694.161290322581,0.967741935483871
"Darwin's",680.15625,1
"Darwinism",775.314285714286,0.8
"Dave",564.090909090909,1
"Dave's",623.58064516129,0.967741935483871
"Davenport",757.727272727273,0.878787878787879
"David",623.090909090909,0.96969696969697
"David's",631.03125,0.90625
"Dearborn",880.060606060606,0.636363636363636
"Decatur",868.28125,0.5625
"December",619.147058823529,0.970588235294118
"Degas",744.441176470588,0.205882352941176
"Delaware",692.058823529412,0.941176470588235
"Delhi",816,0.727272727272727
"Delphi",867.8,0.866666666666667
"Delphic",767.424242424242,0.333333333333333
"Democrat",693.588235294118,1
"Democrats",747.441176470588,1
"Denmark",659.5,0.96875
"Dennis",675.09375,0.96875
"Denny's",656.272727272727,0.96969696969697
"Denver",663.818181818182,1
"Denver's",691.933333333333,1
"Descartes",771.451612903226,0.935483870967742
"Detroit",687.606060606061,0.939393939393939
"Detroit's",726.5625,0.96875
"Deuteronomy",966.34375,0.75
"Deutschmark",992.58064516129,0.451612903225806
"Dewey",881.323529411765,0.911764705882353
"Dexedrine",982.413793103448,0.758620689655172
"Dexter",732.558823529412,0.941176470588235
"Dexter's",755.266666666667,0.933333333333333
"Dharma",804.0625,0.78125
"DiMaggio",824.903225806452,0.580645161290323
"Diana",623.59375,1
"Diane",651.970588235294,0.970588235294118
"Diane's",687.617647058824,0.941176470588235
"Dickens",762.588235294118,0.852941176470588
"Dickinson",879.628571428571,0.971428571428571
"Dictaphone",902.785714285714,0.357142857142857
"Dijon",746.21875,0.5625
"Disneyland",681.71875,1
"Dixie",675.470588235294,1
